[Name]
S1 Blade

[Spatial Fields]
X,Y,Z

[Data]
X[m],Y[m],Z[m]

4.01718427201131,-3.6142563543906,-3.51144035899613
4.03048399683031,-1.53813769350034,-3.61259733996479
4.00224632917106,-2.8844189842984,-3.68420529176442
3.98872676880516,-3.57944069587382,-3.81514347648122
4.00304247200802,-1.17125684539551,-3.87926282732213
3.99296951702239,-2.65360526971868,-3.95294121499225
3.98532279668184,-3.49854949720738,-4.04733433177335
3.99995058957998,-7.47722035944699,-4.20494865613861
3.99309756389526,-2.3865009380348,-4.25943055232751
3.98398246806882,-3.58291602436217,-4.38196769857826
3.9904031228467,-2.77798879163458,-4.48601243363747
3.99833264155333,-1.17581012517212,-4.57245765319892
5.97920054144411,4.98426767608775,-4.73303318769594
5.98215223442616,4.53944023731357,-4.75301230313156
5.96667798836647,4.974157281082,-4.90700619101394
5.89475210973793,4.46898826562061,-5.01094503109432
4.98251756093089,4.17760448352204,-5.1055477532399
4.22194268048661,3.11451342835212,-5.15244208882702
4.00089308008918,3.06608079836025,-5.29068113710256
3.9880936090846,3.1671054280819,-5.40033891201346
3.9892714558273,2.92768256000326,-5.48282372513243
4.01718427201131,-3.6142563543906,-3.51144035899613
4.07704490657934,-3.03820135348796,-3.38425243856085
4.2300148564087,-1.71530771288154,-3.32006210980232
4.61622617828109,6.61350125980975,-3.18616067292
4.60843989713347,-2.77831576429776,-3.1355281228514
4.99849878617841,-1.31253291334453,-3.06473411964367
5.38226949436871,1.07030751902663,-2.9541339465123
5.37872013529499,-2.23471549962635,-2.86353609396651
5.76595962813735,-9.02260646073405,-2.81136502094289
5.91105076812742,8.64021606573051,-2.69653737935877
5.90850401932708,-1.92748773942185,-2.63718152623073
5.9652258650196,-1.27369284609526,-2.5694960571077
5.98737740995471,2.37235134845775,-2.49159140115592
5.99170376364197,2.05985948821665,-2.43899532868219
5.99296485089992,-1.65269481517915,-2.31292918552675
5.99780842029424,-7.05313903820305,-2.28422985300186
5.99859323125478,9.53208777500433,-2.24688867544523
5.99646470165471,-1.8605732272444,-2.14591813320804
5.99847986704402,-1.24774613519705,-2.125285765881
5.99993874301367,1.14601449064215,-2.04575554915847
5.99644392042827,2.06532837533666,-1.9948654929604
